Make,Model,Year,Color,Condition,Mileage,Transmission,Price
Honda,Accord,2003,Gray,Nigerian Used,219081,Automatic,"1,800,000"
Toyota,Highlander,2008,Blue,Foreign Used,168287,Automatic,"11,250,000"
Volkswagen,Passat,2008,Blue,Nigerian Used,207086,Automatic,"1,864,687"
Hyundai,Santa Fe,2003,Black,Nigerian Used,220459,Automatic,"1,687,500"
Audi,Q5,2010,3.2 Premium Quattro,White,Nigerian Used,Automatic,"5,625,000"
Mazda,Premacy,2004,Blue,Nigerian Used,157381,Automatic,"1,125,000"
Toyota,Camry,2001,LE 4dr Sedan (2.2L 4cyl 4A),Silver,Nigerian Used,Automatic,"1,305,000"
Toyota,Sienna,2001,LE,Blue,Nigerian Used,Automatic,"1,417,500"
Toyota,4-Runner,2009,White,Foreign Used,111125,Automatic,"7,312,500"
Toyota,Camry,2004,Silver,Nigerian Used,430389,Automatic,"2,925,000"
Toyota,Corolla,2004,LE,Silver,Foreign Used,Automatic,"2,812,500"
Kia,Sorento,2006,Yellow,Foreign Used,320553,Manual,"3,037,500"
Honda,HR-V,2021,Black,Nigerian Used,48996,Automatic,"14,625,000"
Ford,Escape,2002,White,Nigerian Used,210729,Automatic,"2,250,000"
Toyota,Camry,2002,Black,Nigerian Used,178438,Automatic,"2,587,500"
Toyota,Corolla,2006,S,Gray,Foreign Used,Automatic,"3,037,500"
Chevrolet,Aveo,2007,1.5 L,Silver,Nigerian Used,Automatic,"1,237,500"
Toyota,Sienna,2000,Gold,Nigerian Used,170961,Automatic,"1,631,250"
Honda,Accord,2008,Gray,Nigerian Used,152346,Automatic,"3,375,000"
Toyota,Land Cruiser Prado,2015,Black,Nigerian Used,47735,Automatic,"16,875,000"
Toyota,Land Cruiser Prado,2016,Black,Nigerian Used,70726,Automatic,"2,475,000"
Toyota,Camry,2010,Red,Nigerian Used,260291,Automatic,"4,500,000"
Honda,Accord,2010,Purple,Nigerian Used,178234,Automatic,"2,137,500"
Honda,CR-V,2011,Black,Nigerian Used,144343,Automatic,"3,262,500"
Toyota,Camry,2015,Black,Foreign Used,93079,Automatic,"7,312,500"
Toyota,Matrix,2006,Silver,Nigerian Used,262074,Automatic,"2,812,500"
Toyota,Solara,2006,Blue,Nigerian Used,218932,Automatic,"1,800,000"
Honda,Pilot,2007,Gray,Foreign Used,372246,Automatic,"3,346,875"
